Purchased_equipment_id,Equipment_type,Amount_of_equipment,Order_time,Place_id,Class_id
88,49456,922082,265 weeks,11924,50730
89,30846,211293,45 minutes,1789,4377
90,37139,325915,259 weeks,44222,48335
91,66699,998292,185 mons,42036,98816
92,50366,74029,257 years,20682,1814
93,14718,826202,230 mons,94044,96535
94,14146,951331,57 minutes,52635,95291
95,7311,5866,121 days,51955,64940
96,51181,811730,104 weeks,32156,10822
97,65380,574858,129 weeks,76777,7575
98,57759,936981,154 hours,18709,87164
99,4195,703309,46 minutes,74227,40488
100,92238,101756,109 weeks,82004,19597
101,9490,172789,70 minutes,18702,33257
102,34097,516032,289 weeks,32743,76402
103,25865,712831,139 years,82067,48015
104,93410,859442,232 mons,21616,55949
105,47825,259990,146 hours,66983,64195
106,70356,91321,42 minutes,23460,28475
107,38861,753716,165 minutes,40968,25701
108,47638,874583,243 mons,36633,66962
109,23764,838959,299 mons,56525,18627
110,65288,439894,130 mons,48981,15426
111,89149,201208,134 days,67058,67346
112,69109,124104,27 minutes,62018,47833
113,10027,706424,292 minutes,95389,15566
114,21037,454693,77 years,56828,65347
115,28710,287077,75 hours,21474,21789
116,53683,59707,176 hours,28039,30796
117,10411,103671,20 mons,29355,8802
118,38670,254293,249 days,73511,71783
119,41563,983194,210 minutes,18624,99209
120,69276,581438,291 minutes,95181,20453
121,55354,980023,182 minutes,99521,49070
122,1551,27214,213 years,36406,79434
123,21410,881185,76 days,53385,26751
124,44756,143600,25 hours,53684,2616
125,65188,168541,251 minutes,72600,68436
126,51636,299450,237 hours,65336,1366
127,14911,945388,12 mons,78166,80257
128,59195,896035,76 days,64919,365
129,58008,766116,116 minutes,94180,86872
130,87105,559474,0 hours,13192,76342
131,23108,257951,277 hours,37098,7132
132,86721,944435,50 mons,88063,90955
133,18883,357617,180 weeks,65927,21594
134,68637,679247,88 mons,70484,30380
135,97130,616138,126 years,14831,71793
136,84934,845236,147 days,70280,14662
137,53484,347888,291 years,79066,46890
138,83354,221959,180 years,78054,16370
139,74030,638366,257 weeks,67328,23362
140,44111,581583,259 mons,30880,57580
141,24428,95374,13 weeks,68974,60306
142,21733,62441,174 days,32709,31457
143,67005,408476,164 mons,48516,5678
144,64587,745544,109 days,31326,24269
145,67290,656493,34 hours,53447,88717
146,72046,802424,207 years,71584,38510
147,39030,125243,277 years,29723,90769
148,58639,22731,139 minutes,16238,48264
149,94479,888989,201 minutes,50296,70178
150,16632,76549,279 mons,22743,47969
151,57326,338858,51 weeks,8507,10783
152,58646,244853,288 weeks,42320,60304
153,48702,404753,73 weeks,73971,3898
154,77685,877260,162 weeks,28044,98466
155,10945,314402,105 mons,14787,7198
156,41246,556637,267 weeks,35327,29757
157,23622,614887,12 mons,48647,62863
158,29427,645772,294 mons,59752,44209
159,69542,825496,17 days,40592,32845
160,58442,59020,8 days,19857,62565
161,52399,511719,33 mons,85638,86900
162,8312,605539,250 years,78693,12864
163,69685,112101,153 weeks,43500,33584
164,62831,920696,146 hours,54729,8916
165,88710,604646,184 weeks,6861,14910
166,91869,679901,279 mons,38517,385
167,57961,912208,268 minutes,50329,71334
168,25623,13966,217 minutes,16722,33167
169,10090,960072,227 days,33875,47340
170,82552,580499,205 weeks,12195,65262
171,80552,276095,271 years,55636,72659
172,11984,746144,185 weeks,73405,40023
173,94572,972012,161 hours,28022,78747
174,82813,939513,197 minutes,4789,80685
175,98838,130075,127 minutes,54714,34150
176,51065,195540,281 mons,40557,44181
177,18699,603225,69 weeks,11350,14690
178,70762,189856,12 minutes,74529,11722
179,92783,54350,4 minutes,51392,32829
180,90711,778796,44 years,9718,66838
181,74454,986744,299 days,84995,6282
182,98156,397811,110 weeks,98949,42088
183,29317,956273,292 minutes,21645,74060
184,51134,637455,158 weeks,68670,73104
185,72110,382337,19 hours,33673,15200
186,39261,229610,230 days,302,70961
187,80409,374878,200 days,52498,10664
188,42315,921583,36 minutes,25830,15740
189,6723,322988,156 mons,58362,76602
190,82151,409560,275 hours,52456,45349
191,38013,4878,229 hours,73400,6087
192,44200,368568,297 weeks,52078,32050
193,3953,522301,102 mons,55041,19017
194,39867,76027,30 hours,95451,47957
195,76055,731600,193 days,70463,1180
196,58951,187049,76 weeks,33456,25058
197,74597,346595,39 years,45589,660
198,99163,241570,252 years,96898,38273
199,45088,586957,231 mons,77350,77333
200,96499,568437,85 days,74202,15213
201,72442,80840,100 hours,57294,26253
202,52412,53455,251 mons,92627,18867
203,43864,357527,42 hours,36178,73224
204,9784,596444,135 days,57456,14291
205,22043,458549,260 mons,46440,17296
206,50958,508131,59 minutes,54498,27894
207,15589,115694,243 years,37626,21924
208,1526,728108,180 years,32030,88301
209,72877,547877,104 hours,93088,88801
210,76726,905340,127 mons,1247,17330
211,61962,750888,61 years,5443,41770
212,21723,311255,169 days,59033,40451
213,15166,669926,35 minutes,60372,55925
214,63430,507451,242 weeks,7382,92685
215,79262,865666,32 mons,1994,56211
216,22512,434153,38 hours,67026,81881
217,10999,262590,94 minutes,50708,27510
218,97827,677820,96 years,74525,16714
219,10149,186375,104 years,82504,81014
220,80410,635535,210 hours,61358,76684
221,16356,30456,88 hours,66307,30290
222,99373,75434,170 mons,62360,8197
223,4039,653658,25 days,44643,24742
224,3454,824253,190 years,3100,89032
225,34397,704665,19 hours,92215,11301
226,40143,145148,23 hours,86348,24629
227,8987,334415,6 weeks,77084,19851
228,59423,518797,238 years,80214,57114
229,43338,694286,264 mons,43265,66576
230,38748,914637,65 years,55720,62394
231,68427,930435,239 years,938,99967
232,79341,165199,28 years,19417,8822
233,59935,250213,299 years,47416,45475
234,7795,748672,236 mons,26844,8410
235,96341,718008,28 years,6034,37995
236,64690,313609,254 days,22382,30106
237,32422,209235,24 years,10363,42093
238,31741,762674,75 hours,9778,98704
239,70616,271488,47 mons,45617,13811
240,68779,271637,155 hours,1227,17991
241,1237,803114,69 weeks,31975,92076
242,92123,343468,181 weeks,73808,60533
243,96452,919334,70 mons,41491,2668
244,45964,33172,227 weeks,84940,21724
245,39538,312147,16 days,76099,51642
246,97615,412576,39 hours,68495,3230
247,33418,400212,283 mons,61721,90847
248,52391,388861,112 years,26928,62642
249,30994,108423,294 years,11970,94945
250,26272,828676,265 days,49912,81181
251,75694,876566,235 weeks,8739,29554
252,47548,42822,92 years,78172,72996
253,68797,401388,164 years,56963,51925
254,59579,808651,284 years,52973,73278
255,9946,392661,55 hours,49522,33991
256,7498,447677,279 years,51472,22394
257,27846,738628,153 years,90377,66496
258,91901,370245,264 hours,14157,53399
259,86185,151194,13 years,52485,63604
260,75726,995431,74 hours,68844,31603
261,74016,677328,207 years,66231,6167
262,29757,353534,105 minutes,62081,22051
263,78362,401770,209 mons,95695,45111
264,24571,208808,131 days,24389,55539
265,35528,243115,132 minutes,1772,73111
266,90978,564787,161 days,11470,91282
267,57397,360538,136 years,8782,25361
268,51700,228586,68 minutes,63757,51053
269,19672,716968,9 hours,24840,24019
270,14535,215911,299 minutes,16399,10961
271,60023,250723,18 weeks,51956,9445
272,7229,825548,238 days,94977,10562
273,91858,599396,59 minutes,3719,98687
274,42468,761222,242 years,91051,57632
275,70585,720044,297 weeks,85234,21717
276,60773,561096,67 days,8129,37284
277,57562,793069,152 mons,21138,73992
278,46605,669600,212 days,77753,39604
279,45446,578022,7 minutes,11964,7549
280,40672,897079,141 minutes,69830,61495
281,22853,367728,159 hours,56606,56187
282,40043,518749,145 weeks,39634,19853
283,97438,808339,225 days,33106,24594
284,91278,358183,83 weeks,6323,92024
285,36905,286183,146 days,86152,24685
286,17524,97119,146 minutes,93247,87493
287,58345,699952,238 weeks,60685,85162
288,89700,982824,59 minutes,75215,95119
289,84394,639699,131 hours,71769,6406
290,4557,68562,19 days,52662,16767
291,11526,937450,24 mons,44282,30376
292,78293,554213,264 years,18048,27194
293,60937,793293,116 minutes,69637,34104
294,62164,926985,99 years,92153,83926
295,80573,99371,128 minutes,9874,53212
296,10549,207955,270 days,34817,94361
297,83804,188080,225 weeks,6581,68814
298,82937,383690,115 minutes,95271,96751
299,9860,372720,138 minutes,40894,53108
300,35449,930839,144 mons,5699,56466
301,9243,76620,42 mons,36590,72895
302,22934,748357,13 mons,14585,27271
303,98113,543605,47 weeks,71472,53298
304,23814,209506,288 days,85740,14143
305,81021,708917,229 mons,7946,50794
306,14650,645912,189 years,73970,11600
307,15034,316285,107 weeks,87274,41273
308,43246,580046,298 years,96797,77162
309,71428,709176,142 hours,64689,75085
310,41993,856293,7 minutes,69210,47950
311,80366,462879,84 hours,94172,93234
312,22456,952597,134 minutes,71401,31084
313,75776,551411,247 mons,83332,80049
314,49996,270606,184 minutes,2721,5
315,95728,722891,247 hours,17282,242
316,21587,281304,214 mons,95440,24026
317,68813,130542,29 mons,65969,73601
318,25499,941337,245 years,95996,4933
319,60915,197774,56 hours,50202,5151
320,74749,448659,233 years,70040,43113
321,14016,289843,141 days,76716,41959
322,58774,533678,271 hours,6025,72989
323,16928,383543,83 weeks,9252,51
324,94808,284779,254 weeks,38596,32361
325,42278,618373,83 mons,82474,81960
326,56377,602395,28 minutes,36659,23520
327,77552,71127,227 years,61559,34044
328,12196,46323,289 mons,32027,12199
329,61900,318684,109 minutes,17059,16311
330,19463,321991,97 days,76782,90812
331,78199,681570,160 days,56739,24412
332,84692,532791,150 years,53164,33329
333,16902,336863,44 hours,19654,9998
334,30311,116660,170 mons,67641,12876
335,26243,387336,166 years,36630,80723
336,37754,1857,118 mons,74002,40067
337,95977,160655,119 minutes,73373,36528
338,44138,855435,142 days,60024,17561
339,80500,932567,151 mons,59459,25307
340,12866,702789,249 years,74697,74012
341,4305,569331,256 mons,70596,60658
342,29028,53845,116 days,77120,34966
343,39305,30773,11 days,9987,44164
344,83206,160329,227 mons,89395,23470
345,24493,190338,85 minutes,78074,18
346,13550,933722,52 mons,78232,99343
347,24864,360195,229 hours,78126,96522
348,32507,609439,34 weeks,8646,52330
349,67175,621122,42 days,66023,70563
350,62460,953854,103 mons,58707,65790
351,79777,604976,67 days,50739,692
352,26331,394205,57 minutes,6946,326
353,26560,103799,176 days,19350,65584
354,17934,166755,270 days,27930,73424
355,79342,119248,144 years,97095,21650
356,73598,911216,268 days,77955,77153
357,35696,630606,3 weeks,14104,9268
358,74441,341041,229 minutes,7768,41080
359,54815,376863,237 weeks,67575,88954
360,783,903914,203 days,58076,83830
361,53724,845994,55 weeks,13141,60143
362,80550,367844,79 days,3612,54790
363,80011,214665,250 years,20030,83748
364,93409,701865,10 hours,23818,89795
365,50577,977576,162 mons,31827,4936
366,78778,418266,7 days,65933,63666
367,62671,882670,176 weeks,30909,83823
368,33294,152367,155 days,27422,26844
369,4410,405248,198 minutes,49358,7914
370,41934,168505,96 weeks,45849,40189
371,28587,280154,111 hours,8931,58237
372,77606,717582,207 weeks,26556,92630
373,72927,727540,259 minutes,90977,18567
374,85460,558928,255 days,26616,66352
375,11462,499621,40 years,52790,14792
376,70540,431837,48 days,26000,61668
377,57272,213998,136 mons,30299,61773
378,39957,862969,264 hours,430,54810
379,9481,752786,266 minutes,38550,74886
380,80750,276929,115 days,74367,61099
381,15972,694213,112 weeks,21840,27325
382,32848,745391,251 weeks,70927,58266
383,15565,383237,177 weeks,49862,73847
384,33439,856580,223 hours,12364,84218
385,44004,819653,178 days,73961,20743
386,21465,985162,135 mons,32109,44544
387,73966,277617,267 days,43967,72573
388,50507,244307,80 mons,61282,9168
389,15530,354050,89 weeks,54361,74503
390,74201,223914,283 mons,56349,19834
391,4657,717133,46 minutes,75268,31007
392,3171,596100,168 hours,15349,34550
393,63484,986538,179 mons,83353,47350
394,34592,712484,273 hours,94236,25930
395,12334,863297,75 minutes,94927,74745
396,99823,888943,125 minutes,11193,75510
397,35536,619387,53 years,42975,89825
398,88127,230549,223 weeks,98833,78399
399,84368,783957,288 minutes,94922,66493
400,58534,183671,260 hours,49175,13570
401,13554,404486,281 days,80414,65772
402,86110,818137,216 days,42917,19624
403,49535,903536,168 minutes,35502,78241
404,43826,850643,44 hours,5664,29059
405,95239,923985,271 weeks,15274,63920
406,77462,930361,191 hours,28554,78546
407,71138,161280,294 hours,31136,61823
408,14294,388490,62 hours,44119,1596
409,23807,10420,209 weeks,31471,54954
410,99625,726859,3 minutes,46559,29387
411,23646,416005,105 minutes,94504,77133
412,58876,237892,139 years,35787,90259
413,66168,299836,81 years,85550,15525
414,64956,110185,290 years,47916,24729
415,48712,115266,51 minutes,31823,24946
416,45849,689318,253 minutes,6179,56542
417,62778,89451,121 minutes,86396,34921
418,82182,751248,176 weeks,50342,48478
419,30983,994464,179 weeks,55637,91319
420,41918,827066,112 mons,78134,61635
421,92260,302353,277 hours,27792,59733
422,58892,315628,163 years,13560,6597
423,18356,98634,214 mons,15486,4160
424,96008,678671,274 weeks,10505,88977
425,98608,558784,39 minutes,58828,47064
426,19005,78725,114 minutes,18392,35224
427,91893,904121,134 weeks,61899,50072
428,87361,21369,211 days,28900,13278
429,45886,930586,242 mons,53791,9877
430,95863,507157,237 mons,57527,48558
431,51062,644551,47 hours,30975,94374
432,21833,200082,279 years,83534,85898
433,7270,29122,110 years,75785,15773
434,55569,18152,41 days,34428,14286
435,80728,646526,122 weeks,91167,91045
436,20909,975960,1 days,58482,96853
437,65304,368363,127 years,26201,74965
438,79264,168653,170 weeks,56726,60631
439,46936,805911,263 minutes,8514,32188
440,51659,986732,240 hours,240,63801
441,29960,646757,198 weeks,51139,46984
442,96239,12765,297 years,82032,4018
443,25158,489265,110 mons,9678,38229
444,90246,122130,10 weeks,80631,94105
445,8750,40758,175 weeks,37343,83272
446,15356,416034,244 days,85324,60890
447,17315,77373,128 weeks,46485,74243
448,45294,947832,218 mons,37180,74871
449,14464,685031,185 days,12208,68927
450,82200,212535,199 days,59254,25582
451,75908,368131,165 weeks,42722,44830
452,8597,636699,200 weeks,83231,21874
453,86973,37795,80 minutes,6546,2139
454,29653,34894,7 hours,93247,22879
455,85661,612199,100 mons,83976,85101
456,68358,622398,216 mons,98021,68857
457,72923,13546,202 weeks,67368,61325
458,83851,877719,123 years,49638,53295
459,20259,860863,227 weeks,24743,60828
460,83566,639002,26 mons,9470,10132
461,91336,275005,109 hours,28472,8838
462,8954,338185,265 days,88282,72435
463,68385,771141,85 mons,43655,21666
464,91879,747079,235 weeks,67604,6219
465,61229,318760,57 weeks,32751,17818
466,58172,657447,141 minutes,92960,76263
467,80772,969111,211 years,23018,12189
468,45130,332525,14 hours,41216,5692
469,17453,58619,132 weeks,31341,48126
470,16653,133462,203 hours,40866,75991
471,59568,903107,11 years,94644,50540
472,17842,1652,224 mons,4592,17355
473,1459,194502,234 minutes,85322,25682
474,10824,21960,34 days,41537,14233
475,99451,684642,203 weeks,91022,74582
476,18113,290348,250 hours,12232,88750
477,53522,771992,128 hours,69861,39550
478,2612,404201,243 years,10930,74365
479,72570,948991,88 hours,19303,95433
480,92891,403225,137 minutes,42545,45696
481,29997,947984,175 days,6626,59929
482,87995,716382,75 weeks,24667,2423
483,66098,646049,290 weeks,19315,74263
484,53212,762946,43 mons,44120,41037
485,65845,317595,86 weeks,47997,88883
486,33915,339707,30 mons,35686,62047
487,82881,18975,32 mons,20887,7779
488,47972,951541,141 weeks,68676,8098
489,7199,35210,265 days,9086,20811
490,38942,182456,259 hours,34790,12520
491,75685,97757,65 hours,93467,19858
492,79363,421833,130 weeks,16509,63193
493,93558,384847,290 years,89785,86875
494,83434,89511,58 weeks,66151,67774
495,88755,187472,84 years,5803,16721
496,91456,580252,185 years,37660,99639
497,58419,714325,159 hours,92149,74915
498,38851,131899,211 years,78880,91811
499,18885,190252,198 years,18713,10107
500,76309,357123,290 years,94410,20897
501,43431,757562,41 hours,1397,68822
502,91344,403674,193 hours,20121,83169
503,67290,791455,124 hours,47379,68172
504,94178,949438,49 minutes,91199,55691
505,81090,722963,160 hours,62615,67325
506,87964,679533,215 minutes,49405,60181
507,87289,938459,196 minutes,22966,91501
508,11178,282860,245 years,56378,81770
509,91170,801875,149 hours,40814,1243
510,85211,681336,95 days,88702,94806
511,66007,564286,221 hours,6008,41611
512,93442,75376,199 hours,6678,74815
513,78738,243545,274 days,57225,5148
514,13415,503762,287 mons,25490,90728
515,20210,208731,1 hours,53451,39144
516,1448,615443,100 weeks,2280,82418
517,41648,945526,241 days,72725,55051
518,64341,968730,204 years,20913,78537
519,10989,340558,290 weeks,33288,35537
520,42090,508248,253 minutes,83519,29819
521,63698,723845,9 mons,64616,70598
522,68390,893315,30 minutes,88485,77760
523,55922,792050,85 hours,46089,93592
524,60313,2499,178 minutes,16348,49272
525,98405,568154,199 weeks,12969,80222
526,7485,250676,90 days,64061,56954
527,99687,19428,66 minutes,48327,17706
528,13475,545120,232 weeks,27291,52780
529,84852,170029,150 years,1759,17189
530,86472,301001,258 weeks,60427,50045
531,64778,74226,148 hours,12953,89057
532,15348,510085,299 hours,67976,89496
533,39377,474315,278 mons,40697,59529
534,78390,77627,299 hours,43584,12731
535,7596,113810,223 weeks,15040,23749
536,70340,559859,149 mons,34691,14222
537,1993,743210,150 weeks,69658,51016
538,297,886528,11 hours,89627,21382
539,39610,571973,71 days,99247,99650
540,10765,284900,104 weeks,57503,58905
541,7338,36341,277 hours,84052,35219
542,19832,860648,128 mons,63344,74188
543,25455,860553,97 mons,44579,62819
544,96524,823845,214 years,67286,79538
545,95869,424267,51 weeks,84014,7665
546,3023,66701,82 days,50218,68771
547,76770,993950,261 days,58081,99145
548,56191,7707,235 mons,22242,63383
549,42174,893381,164 weeks,28356,32442
550,67118,839167,46 years,5240,18339
551,70971,693392,229 years,23026,91106
552,86597,222980,162 years,92406,79496
553,37783,354044,124 days,49363,1275
554,16464,455615,46 weeks,57982,15318
555,39158,390148,237 weeks,48668,48034
556,84842,198247,270 mons,90080,93402
557,22494,732494,128 years,18402,54578
558,7933,615750,1 years,5699,24880
559,40340,252291,225 years,75342,52586
560,60827,467458,271 weeks,77430,44984
561,11800,765366,296 days,64034,76264
562,33550,114966,273 mons,74097,92939
563,89258,701121,160 hours,15154,69411
564,28537,222719,255 minutes,81732,68799
565,63930,780057,143 weeks,33660,43368
566,78233,727930,83 minutes,26138,48018
567,9665,62070,36 years,8933,49646
568,1752,568510,266 years,25727,67203
569,57810,918919,12 hours,45840,44770
570,80879,541773,13 years,40307,35140
571,97310,489060,239 years,47497,86834
572,63176,342435,73 weeks,78157,22944
573,65952,836353,84 mons,91535,46036
574,99154,256002,96 hours,12087,76492
575,42608,942602,143 weeks,11926,21344
576,31608,929808,191 days,18521,53431
577,45659,894191,70 minutes,47335,76204
578,76817,747182,125 years,32310,94843
579,56713,95628,7 hours,42857,49826
580,98626,505830,111 mons,66159,91332
581,55555,560436,226 days,77680,76504
582,51047,262970,154 minutes,59888,56504
583,86180,320261,14 days,86174,68011
584,36746,644032,88 years,52184,52893
585,10853,294707,67 years,30513,37621
586,22961,362558,245 weeks,33805,52920
587,38724,337387,271 mons,75656,23376
588,58825,764925,266 days,67722,16709
589,58769,888684,152 days,98215,76331
590,11125,744751,29 hours,69949,81712
591,61295,384347,133 years,24882,24684
592,96446,777223,213 days,25780,72214
593,23199,499081,278 years,14175,72360
594,4581,610916,188 mons,17523,80785
595,86331,35638,8 weeks,82599,32332
596,11133,281243,124 years,28083,65707
597,9619,851459,110 minutes,61761,98687
598,74823,308118,42 years,77741,50340
599,23330,650150,59 years,85951,4345
600,80371,982187,83 minutes,42339,24049
601,21446,967824,166 minutes,96269,10066
602,83025,887024,299 days,22892,64527
603,5642,657641,204 weeks,22790,64250
604,273,442160,180 mons,86511,3373
605,96987,185965,25 mons,27560,14139
606,77892,663421,59 minutes,78826,61587
607,99425,369582,266 mons,92063,59995
608,58523,657433,168 minutes,66295,47764
609,32465,234429,139 days,38099,68632
610,71492,505610,110 years,47249,6447
611,51481,415571,290 mons,33039,21223
612,21232,88485,153 minutes,26956,39396
613,36411,197758,14 weeks,50691,57311
614,63324,985222,177 days,77887,50356
615,35508,448593,99 hours,81000,96066
616,10365,39065,284 hours,25522,85330
617,17412,21973,104 weeks,72196,44227
618,87942,82258,160 days,78701,81112
619,79118,9095,55 weeks,13777,5984
620,62489,244258,256 weeks,69682,8500
621,89024,51350,33 years,18793,22372
622,87931,831053,139 days,79818,52408
623,42795,795736,17 weeks,70217,7607
624,40419,207130,245 weeks,7418,551
625,72544,435263,172 hours,67376,19970
626,40458,987136,141 days,10859,37361
627,21647,215171,275 mons,11759,33252
628,32472,805778,13 minutes,53699,66067
629,82264,225340,18 weeks,8471,74446
630,20255,734216,262 mons,4492,35208
631,2862,424789,70 minutes,45883,38670
632,87426,444792,14 years,42536,19201
633,86670,878027,192 years,53005,86951
634,75860,158721,190 minutes,10658,89488
635,44632,235314,41 years,40152,57049
636,70526,745336,178 days,38763,29046
637,57913,353983,155 minutes,14894,62135
638,25654,608506,236 hours,23165,21971
639,23581,971018,163 days,16567,65020
640,61625,495560,153 minutes,65620,93347
641,78487,647616,191 weeks,76832,3311
642,56962,986954,246 mons,27309,24032
643,33970,53558,81 days,44810,89789
644,23310,355650,200 days,75893,28086
645,63639,297669,91 weeks,52588,88069
646,87639,773987,88 minutes,23623,35684
647,60413,172047,14 years,62960,16031
648,13199,750063,51 weeks,28039,84864
649,59577,204244,195 days,98999,99894
650,61995,886691,79 minutes,63030,80937
651,25703,560071,137 hours,88057,68173
652,58586,808772,72 mons,80467,89540
653,78470,912873,18 days,10145,94582
654,8985,785303,259 mons,50526,70569
655,50036,268403,207 days,97050,83053
656,99365,830130,225 years,89591,3503
657,64015,973717,158 hours,1858,5143
658,78915,80760,159 weeks,34956,9126
659,6666,432057,235 hours,14970,18321
660,39121,181819,58 weeks,70659,21258
661,19994,87771,143 mons,24756,50592
662,68540,604476,47 weeks,8467,45775
663,93463,317868,165 mons,79384,18308
664,85785,224029,171 years,10190,1347
665,61750,501344,256 minutes,34528,16613
666,83298,44638,290 years,88502,83875
667,89122,561135,183 hours,42467,22499
668,76076,720448,204 minutes,93149,21957
669,20365,525326,284 weeks,52015,63295
670,72523,485809,184 days,46433,96168
671,92233,15805,107 mons,93601,15641
672,74452,551050,82 days,86997,10519
673,61751,803677,151 weeks,55783,90811
674,34322,847443,22 days,21713,21462
675,9377,865214,89 years,10785,57741
676,97629,872941,214 days,73291,97859
677,89056,353506,279 mons,203,28867
678,45400,524850,69 days,13621,25277
679,51978,778509,207 years,42374,57651
680,70596,18241,156 hours,85598,79005
681,45163,140948,169 weeks,26173,30541
682,54866,905106,87 minutes,54905,36691
683,85518,150082,109 years,72567,45036
684,42598,323770,157 minutes,36051,96440
685,83568,197793,187 mons,48852,38809
686,16018,827208,212 years,82474,77796
687,40442,77036,88 hours,26082,76360
688,84480,907996,286 years,31218,63093
689,45059,598236,135 years,19929,98598
690,60147,431037,48 mons,37670,59611
691,26895,8374,41 minutes,98730,61399
692,24648,568141,208 hours,7164,93973
693,94900,573168,101 minutes,97415,14125
694,19636,643078,84 minutes,88486,30368
695,55430,805888,113 years,77197,19753
696,93140,598564,249 hours,7389,57266
697,74093,127377,163 days,17330,50530
698,51576,487270,165 minutes,3911,70873
699,6310,871754,214 minutes,3193,47587
700,27835,669656,212 mons,22374,42369
701,51298,1864,34 years,67437,26106
702,40669,508623,184 hours,31741,53860
703,56227,226191,38 hours,30764,44792
704,1653,353413,161 weeks,63861,14651
705,44558,567126,199 hours,56167,29018
706,11273,576422,19 hours,54472,19237
707,92889,51539,170 minutes,67481,31459
708,92754,685184,294 minutes,80423,33159
709,65064,489319,299 mons,19505,77925
710,46547,638037,14 weeks,65651,31783
711,69688,978397,175 days,75892,44690
712,54654,917555,288 hours,45741,95529
713,42795,497242,152 minutes,34733,13989
714,92094,612421,125 days,24933,47249
715,57601,608783,257 days,49614,64039
716,29502,456106,23 mons,78204,34547
717,25512,626302,84 mons,8655,69145
718,8350,940996,0 hours,41722,3534
719,73118,478457,174 weeks,25537,18768
720,19664,441770,88 hours,68914,1513
721,77372,472141,290 mons,28942,29554
722,95524,277524,50 minutes,28570,16342
723,34852,114990,217 mons,44541,32310
724,44256,249912,52 minutes,12834,93948
725,21717,142162,144 weeks,23170,71545
726,78013,158537,141 mons,70784,34570
727,65270,745125,24 weeks,22026,96738
728,20099,834742,130 years,69800,25868
729,57933,122411,157 minutes,96480,83675
730,34993,698813,268 weeks,89056,60946
731,925,192236,195 mons,57947,98503
732,16380,995684,242 hours,23435,43495
733,94421,154667,38 years,70078,59614
734,43427,822003,214 weeks,34844,57825
735,55567,178890,98 weeks,87171,32130
736,47326,872764,214 days,8336,97131
737,97057,215018,27 weeks,62802,47411
