Certificate_id,Client_id,Course_id,Course_end_date
124,12072,18660,2022-01-13
125,56737,41120,2021-10-11
126,48378,40033,2020-04-12
127,29924,49878,2021-06-06
128,1017,95540,2021-11-14
129,18598,76803,2020-11-17
130,72607,88975,2021-02-08
131,66057,4623,2020-08-20
132,82702,52854,2021-03-20
133,98711,97539,2022-04-20
134,97434,53372,2021-03-21
135,91775,92688,2020-04-18
136,92444,19849,2020-07-14
137,30825,1013,2021-03-14
138,82539,65234,2020-10-06
139,72670,9501,2021-04-04
140,24367,46035,2022-02-03
141,18884,81225,2022-03-24
142,93658,4064,2020-04-03
143,96509,56648,2022-02-16
144,93330,38803,2020-09-23
145,83635,25483,2021-03-02
146,2838,65006,2020-03-03
147,42966,75622,2021-10-28
148,69367,80388,2021-02-16
149,99532,29211,2020-03-03
150,7454,20383,2022-03-23
151,6528,87646,2021-08-06
152,59502,37912,2020-05-21
153,45132,64852,2021-08-01
154,67357,35830,2020-07-16
155,88166,24806,2021-08-10
156,51707,39464,2020-12-14
157,2440,63370,2020-09-24
158,89944,34235,2020-05-08
159,93925,13239,2020-07-01
160,70952,22314,2021-06-16
161,85201,55089,2021-06-15
162,61236,87302,2020-01-14
163,55890,95389,2020-02-29
164,34774,50756,2021-09-11
165,41738,91176,2020-05-31
166,53479,63235,2020-05-24
167,63202,12021,2021-06-20
168,71943,46219,2021-02-23
169,3947,75594,2020-11-06
170,26545,67024,2020-02-06
171,84855,19923,2021-06-21
172,41480,55707,2021-11-27
173,66289,68085,2020-07-29
174,80540,17435,2022-02-16
175,35939,39401,2021-06-20
176,89079,40170,2021-06-05
177,62602,70024,2022-01-13
178,14335,42205,2021-11-06
179,16897,60281,2020-07-28
180,11342,78196,2021-06-02
181,17911,8169,2021-10-09
182,540,14371,2021-05-24
183,29448,63016,2020-10-14
184,45813,88800,2020-04-19
185,71702,39696,2021-06-19
186,73434,77692,2021-06-11
187,77720,61193,2021-01-12
188,7727,20674,2020-02-18
189,2625,24272,2021-01-17
190,87991,48564,2020-09-13
191,99724,82699,2022-03-08
192,88911,63008,2020-11-05
193,69357,28687,2022-03-08
194,8597,41052,2022-03-25
195,61726,28734,2020-02-09
196,11102,11156,2021-12-09
197,89878,49669,2021-08-27
198,40014,70538,2020-10-29
199,80401,73825,2020-12-23
200,74253,63715,2020-05-15
201,78626,91736,2020-11-25
202,86297,95264,2021-02-16
203,87065,46741,2020-03-05
204,4521,52313,2020-04-28
205,74815,88775,2020-06-30
206,81071,95256,2020-03-20
207,74886,35143,2020-02-27
208,33259,40816,2021-04-04
209,75809,67352,2020-09-02
210,66460,40764,2021-01-16
211,81175,49095,2020-08-17
212,37035,6862,2021-07-22
213,45250,81909,2020-05-28
214,65566,30197,2021-09-29
215,66257,64410,2022-02-28
216,8619,32165,2020-10-28
217,90112,11379,2021-11-05
218,96758,52021,2021-06-07
219,72668,68473,2020-05-14
220,63334,87054,2021-12-16
221,92512,63363,2020-08-05
222,49465,89405,2021-09-02
223,99931,25850,2021-09-22
224,29954,46024,2021-03-22
225,6194,24637,2021-11-27
226,99842,19962,2021-03-04
227,95434,61894,2020-09-11
228,14664,43265,2022-04-04
229,57706,43451,2021-05-26
230,98326,43326,2021-07-08
231,39717,9452,2020-10-29
232,69402,60908,2021-12-09
233,9399,89290,2021-11-29
234,16953,42690,2022-03-31
235,89039,38541,2020-08-03
236,34504,12622,2020-10-03
237,25597,17965,2021-10-23
238,43241,19365,2021-01-07
239,31545,93548,2021-05-17
240,82410,19632,2020-07-28
241,46537,15618,2020-09-02
242,73714,48651,2020-11-04
243,66571,62855,2022-03-06
244,56429,73497,2020-02-24
245,55003,3641,2022-01-03
246,5515,55255,2020-08-21
247,90965,47738,2020-09-18
248,33848,14740,2020-08-23
249,58310,77794,2021-10-01
250,59160,60184,2022-01-10
251,38056,19185,2021-02-03
252,4962,36227,2022-03-07
253,56875,806,2022-01-10
254,82257,97591,2020-03-21
255,79561,74883,2021-10-25
256,96707,32943,2020-06-09
257,28185,92821,2021-03-31
258,89118,62887,2020-07-19
259,91755,35394,2020-09-02
260,57266,22412,2021-03-03
261,52414,81346,2021-09-14
262,97552,7718,2021-08-28
263,24093,27475,2022-01-21
264,52616,5523,2021-01-01
265,85692,81191,2020-05-14
266,76103,41163,2020-05-05
267,15652,22765,2022-02-10
268,93340,12678,2021-02-28
269,47159,66388,2020-10-10
270,84234,27454,2021-10-14
271,25597,34633,2021-06-24
272,1565,74119,2021-11-19
273,9632,88645,2021-09-28
274,31693,85792,2021-03-21
275,19773,61581,2020-10-17
276,19398,92896,2020-09-12
277,70418,90941,2021-12-25
278,84316,91750,2020-09-29
279,656,45518,2021-09-23
280,24095,70718,2020-03-27
281,97015,90355,2021-05-10
282,59152,7876,2022-03-23
283,5053,95938,2021-10-14
284,16344,62338,2020-03-29
285,43127,60402,2021-09-05
286,39625,87357,2021-10-19
287,14331,77079,2020-05-03
288,93819,91405,2020-09-17
289,59378,45518,2022-01-04
290,15211,97982,2021-04-23
291,58649,7513,2021-07-20
292,25113,52650,2021-04-10
293,31735,99787,2021-07-29
294,56379,37339,2021-06-20
295,51058,43464,2021-12-13
296,79115,35032,2020-04-23
297,19108,80439,2021-03-25
298,19686,34009,2021-01-28
299,44871,51685,2022-04-04
300,92740,71739,2020-03-25
301,25616,21183,2021-02-09
302,28108,31753,2020-04-02
303,72728,23942,2020-01-06
304,2801,73629,2021-02-23
305,35238,65006,2020-10-04
306,10443,9697,2020-05-25
307,77609,81752,2020-06-11
308,87493,53816,2020-07-25
309,23149,46506,2021-06-18
310,8196,83261,2021-08-10
311,72000,81014,2021-11-26
312,4506,26546,2020-09-09
313,52224,59364,2020-09-12
314,11269,8049,2021-08-02
315,21026,30539,2020-08-02
316,4236,86717,2021-10-22
317,24211,18400,2020-10-01
318,99833,49819,2022-02-23
319,17933,92786,2021-03-01
320,53329,75376,2020-10-16
321,42576,47477,2020-05-15
322,74018,90552,2020-12-03
323,74222,42887,2021-03-22
324,68463,96707,2021-09-27
325,85545,6850,2020-07-26
326,14022,93374,2020-11-24
327,50298,17047,2021-08-02
328,90611,36922,2020-07-11
329,13333,9101,2020-12-04
330,8411,88772,2021-04-04
331,45268,30730,2020-08-15
332,11855,64977,2022-01-24
333,38659,16670,2022-02-19
334,53017,89900,2020-02-08
335,9656,50329,2020-03-18
336,37578,28036,2021-12-04
337,61433,50527,2020-12-20
338,23638,89321,2022-01-12
339,3829,70204,2021-10-25
340,60761,65139,2021-10-26
341,95769,18395,2020-10-10
342,85515,44274,2021-03-09
343,25920,97772,2020-05-19
344,92234,9883,2020-11-04
345,94251,97740,2021-08-12
346,70481,95354,2021-08-29
347,75232,57122,2020-02-29
348,76187,85389,2021-08-30
349,42227,50437,2021-08-08
350,72259,64359,2020-03-01
351,14995,36401,2021-12-23
352,21911,47901,2020-07-09
353,69489,98667,2022-04-03
354,79892,67989,2020-10-08
355,47129,51306,2020-06-29
356,82540,3252,2022-01-22
357,9934,45842,2021-07-22
358,44778,17756,2022-03-12
359,50057,24479,2022-01-26
360,435,19533,2021-01-02
361,53072,30330,2021-10-25
362,53882,16699,2022-04-05
363,78344,38089,2020-02-28
364,45923,14570,2022-01-25
365,73772,2258,2021-05-22
366,24072,45415,2021-06-22
367,47850,44430,2020-11-04
368,72871,8200,2021-03-14
369,37671,17693,2021-10-07
370,16293,30820,2020-04-21
371,67143,6488,2021-12-13
372,17155,54779,2020-12-16
373,20909,66629,2021-09-09
374,23382,5082,2021-08-26
375,93801,278,2020-07-08
376,30158,71738,2020-10-19
377,15071,69958,2021-11-07
378,4654,31631,2020-07-17
379,74729,46710,2020-12-28
380,33202,20190,2020-10-13
381,83854,89543,2021-07-11
382,71320,87521,2020-11-06
383,21539,12614,2021-09-25
384,61945,62726,2021-02-24
385,99399,19099,2020-10-20
386,62251,75943,2021-04-19
387,93132,16456,2021-10-26
388,2233,91629,2022-04-07
389,6835,26861,2021-03-25
390,82634,46671,2021-08-04
391,29407,65591,2021-10-21
392,95462,71253,2021-08-17
393,81988,50549,2022-02-21
394,59897,76711,2021-08-21
395,63216,58692,2020-11-23
396,99302,96438,2021-09-30
397,99778,34482,2020-01-19
398,81210,75624,2021-09-16
399,16445,14151,2021-03-27
400,94357,336,2021-09-30
401,88321,46803,2021-04-16
402,65705,20962,2020-11-28
403,71828,68373,2020-07-05
404,48929,90240,2021-01-13
405,35194,68,2022-04-13
406,85415,52284,2020-04-10
407,29614,59031,2021-01-06
408,35113,95900,2020-06-06
409,99827,2098,2020-06-08
410,74703,75517,2021-10-31
411,45665,54487,2020-02-12
412,60147,28851,2020-07-07
413,92568,81128,2022-01-07
414,78837,65681,2021-11-16
415,48248,46072,2020-08-29
416,16610,5527,2022-04-11
417,64226,98913,2022-02-02
418,14512,25731,2021-03-06
419,1083,86843,2020-05-22
420,3026,13356,2021-03-01
421,8391,61942,2022-04-14
422,10601,87823,2021-07-10
423,9427,88158,2020-01-21
424,39328,4483,2020-10-29
425,63301,27768,2020-07-09
426,24725,45715,2022-03-29
427,46443,2429,2022-01-01
428,92219,30830,2021-09-27
429,93673,77929,2021-11-28
430,37596,31631,2021-07-24
431,45415,85943,2022-03-04
432,63449,71325,2020-10-31
433,17160,17897,2020-07-21
434,64920,39181,2021-10-28
435,44620,73672,2020-03-04
436,84977,6960,2021-04-28
437,19172,83537,2021-02-26
438,21019,47828,2020-01-16
439,81624,81688,2020-03-23
440,59617,6474,2021-12-27
441,70123,69525,2021-06-17
442,33630,29569,2020-05-23
443,44570,46757,2022-02-04
444,83404,59230,2021-01-20
445,95368,24380,2020-09-26
446,3013,15503,2020-12-31
447,6503,93620,2021-01-18
448,63679,39103,2020-09-20
449,31246,46404,2020-01-12
450,27247,10357,2022-02-01
451,95582,37354,2020-04-17
452,90710,54308,2021-01-26
453,61268,15199,2021-05-24
454,64877,33893,2021-11-18
455,66069,68245,2020-05-30
456,63847,23961,2022-04-13
457,66337,10125,2021-12-13
458,45984,87615,2022-01-30
459,56428,74011,2020-03-27
460,7671,90382,2020-02-14
461,88150,63590,2021-02-01
462,53602,79901,2021-01-05
463,66676,3832,2020-12-27
464,65803,63152,2020-10-10
465,80353,81845,2020-02-07
466,22814,52640,2021-09-06
467,44299,76684,2022-02-12
468,97730,31075,2021-11-06
469,71150,35536,2022-03-29
470,33459,1103,2020-08-15
471,17925,53954,2021-01-04
472,57368,66485,2022-05-07
473,70575,84375,2021-10-26
474,37038,4597,2022-01-26
475,47533,87050,2020-06-18
476,99492,89233,2021-02-07
477,38270,76000,2020-07-11
478,59017,55605,2021-04-06
479,76535,90835,2020-03-15
480,50249,71371,2022-05-05
481,92074,49317,2022-03-11
482,51109,76959,2022-02-26
483,29530,4033,2022-02-24
484,58679,54991,2021-06-10
485,95283,96441,2022-04-11
486,12161,50721,2021-01-06
487,28766,10895,2020-02-02
488,91237,33801,2022-03-31
489,69993,93002,2021-02-14
490,62340,26134,2021-11-06
491,6982,23143,2022-04-08
492,68230,97720,2021-11-05
493,97485,20662,2021-02-04
494,99550,96495,2021-10-19
495,8384,77512,2020-10-07
496,58266,98198,2020-01-01
497,26335,82194,2021-09-11
498,90626,41576,2022-01-25
499,2857,51154,2021-01-29
500,27355,21784,2022-05-03
501,23283,33071,2020-09-24
502,6791,35858,2020-07-27
503,17512,79399,2022-03-13
504,34401,18278,2020-11-06
505,62741,95752,2020-10-02
506,24140,17818,2022-04-18
507,2979,36185,2021-11-16
508,72166,76660,2021-11-25
509,89176,87630,2022-05-10
510,14355,96777,2021-12-23
511,98883,74765,2021-06-24
512,80985,19341,2020-10-01
513,27613,13864,2020-03-13
514,21443,82242,2021-01-27
515,62781,43348,2022-01-18
516,10284,29021,2021-10-02
517,94789,55940,2021-05-14
518,90216,32150,2022-01-08
519,67700,36451,2021-08-25
520,35892,66035,2020-01-13
521,8399,67355,2021-09-27
522,26198,16912,2020-09-24
523,23525,13359,2021-11-11
524,58622,34087,2020-04-11
525,59939,69642,2022-02-12
526,82651,29753,2021-09-17
527,74808,94588,2022-02-11
528,94031,98283,2020-10-31
529,66143,97177,2020-07-24
530,24067,27827,2021-06-02
531,44540,69448,2021-01-13
532,8984,84336,2021-08-05
533,4716,81531,2021-07-20
534,36105,95528,2022-02-23
535,46953,14562,2020-08-05
536,6345,17912,2021-07-30
537,32979,68565,2020-05-01
538,9774,81398,2020-11-23
539,29528,96562,2020-10-06
540,89167,52337,2021-02-13
541,73447,47148,2020-10-28
542,22069,93637,2021-11-11
543,69945,40315,2020-04-21
544,38791,51545,2021-11-24
545,89434,31521,2021-12-02
546,96291,27928,2020-09-01
547,62159,79840,2022-03-06
548,8179,87318,2021-01-17
549,96629,80839,2021-03-01
550,21084,2103,2021-04-05
551,59582,35815,2020-04-10
552,86997,66855,2021-03-17
553,56684,44994,2021-12-24
554,69673,89960,2021-02-23
555,79883,10213,2020-08-12
556,12942,89815,2020-06-03
557,63500,43606,2021-09-11
558,72412,81668,2020-03-10
559,86670,17977,2021-12-11
560,20759,85990,2022-05-06
561,40952,86600,2021-06-17
562,92419,35397,2020-08-26
563,96938,52907,2021-06-27
564,62943,71379,2021-04-13
565,16128,1070,2021-10-10
566,15532,13747,2021-03-04
567,29937,67254,2020-09-23
568,96235,11140,2020-12-27
569,4163,67619,2020-12-28
570,51337,73383,2021-01-24
571,19283,62269,2021-11-15
572,48262,55307,2020-09-13
573,63694,53208,2021-09-11
574,67324,78199,2022-04-13
575,60795,76543,2020-07-24
576,34330,68047,2020-06-05
577,33373,28585,2020-10-30
578,26712,82610,2021-02-08
579,30811,64539,2020-02-13
580,90599,99613,2021-01-10
581,33062,46832,2021-07-28
582,65263,3367,2020-04-20
583,20154,66174,2022-03-20
584,83686,49205,2020-11-24
585,65702,97507,2022-03-09
586,54560,84019,2021-11-12
587,13437,48665,2021-01-10
588,49546,7812,2021-03-12
589,29900,51253,2021-01-26
590,15360,14783,2020-02-07
591,13967,91885,2020-02-21
592,12400,84678,2020-03-07
593,16305,54388,2020-07-03
594,72064,68091,2021-04-13
595,58268,93153,2020-04-17
596,92954,46977,2021-02-02
597,72623,35066,2020-02-03
598,26917,15883,2021-01-02
599,66300,87826,2021-12-17
600,84205,18562,2020-04-24
601,52355,33159,2020-05-18
602,15022,55267,2020-06-01
603,61150,72553,2020-05-07
604,73695,79897,2020-07-12
605,32229,42098,2020-02-13
606,24471,48604,2020-05-15
607,66638,84101,2021-03-17
608,35600,69641,2022-03-13
609,36813,79144,2020-08-18
610,10240,86477,2021-12-14
611,47624,23677,2020-10-09
612,51911,92737,2020-03-09
613,5282,84458,2022-02-20
614,65295,65282,2020-06-14
615,20382,76539,2020-07-02
616,54650,36378,2021-08-11
617,34736,16551,2021-07-28
618,32474,22154,2020-12-23
619,91788,97434,2021-06-09
620,4402,77160,2022-03-20
621,46946,76447,2021-08-30
622,96516,24157,2021-10-19
623,94618,47466,2021-04-23
624,90744,68659,2022-03-06
625,48690,10185,2020-04-23
626,7441,40589,2020-03-27
627,87338,19550,2020-09-08
628,29255,17446,2020-09-16
629,34451,95430,2020-02-16
630,21266,67766,2020-11-05
631,91678,73550,2020-11-01
632,2306,1671,2022-01-13
633,97224,46482,2021-07-04
634,23369,7145,2021-02-25
635,44652,35884,2020-07-10
636,54151,4486,2021-10-24
637,43427,9687,2020-02-04
638,25876,46274,2021-06-17
639,29415,82602,2021-11-27
640,30794,14790,2020-11-02
641,87299,53450,2021-06-02
642,85194,68497,2021-04-23
643,81416,95997,2020-03-18
644,95850,1734,2022-05-10
645,61352,78559,2021-04-24
646,58459,46050,2021-07-27
647,16807,43928,2020-06-18
648,64821,65813,2021-11-12
649,32220,36747,2021-01-04
650,84456,56935,2020-08-12
651,725,31990,2021-06-16
652,16753,50447,2020-08-18
653,30788,22602,2021-05-04
654,97865,43304,2020-05-26
655,94191,59813,2020-06-18
656,9467,15470,2021-01-16
657,76570,3972,2020-03-24
658,97996,52482,2021-08-09
659,45592,62303,2021-04-30
660,32941,48069,2020-08-13
661,58703,3271,2020-06-03
662,85286,55923,2021-02-12
663,98127,98905,2021-05-26
664,97936,43338,2021-07-27
665,68151,66065,2021-03-22
666,76243,94715,2020-05-09
667,90764,71801,2021-07-05
668,76202,38970,2020-05-30
669,89092,81456,2021-08-21
670,27006,74730,2021-11-14
671,65605,82832,2021-08-06
672,49236,41855,2020-09-14
673,48161,49921,2020-04-12
674,48958,45104,2021-01-31
675,11935,38420,2021-05-29
676,4942,39306,2022-05-04
677,82766,84488,2021-07-23
678,75579,25694,2022-01-19
679,24775,82796,2020-05-23
680,99164,34727,2021-08-23
681,3393,39301,2020-11-14
682,45996,64427,2020-12-22
683,23036,78314,2021-04-15
684,61366,36825,2021-08-28
685,74234,77305,2020-09-25
686,85028,77132,2020-06-11
687,86387,82458,2021-08-24
688,26943,44665,2022-01-28
689,44135,66233,2020-09-17
690,14417,84246,2020-08-15
691,65957,81015,2020-01-22
692,14803,47160,2020-05-30
693,2732,9119,2020-08-27
694,74183,19211,2021-04-21
695,25308,18002,2021-04-15
696,93675,78733,2021-10-13
697,43250,21699,2020-09-04
698,99322,35075,2021-08-18
699,27034,83687,2020-05-24
700,38521,55911,2020-05-31
701,19245,57253,2021-04-10
702,61237,87880,2020-02-15
703,6316,94225,2020-08-09
704,82373,25654,2020-04-15
705,4008,49748,2020-02-21
706,30284,49795,2021-03-06
707,23653,38706,2021-11-29
708,80993,59858,2021-06-24
709,59525,69520,2020-05-07
710,21518,37805,2021-11-28
711,36243,85529,2021-11-26
712,2273,76138,2021-12-13
713,38252,42487,2020-10-18
714,11108,94466,2022-02-01
715,1980,91645,2022-01-22
716,36991,5870,2021-06-02
717,46509,81587,2021-03-02
718,99035,36895,2022-02-12
719,21580,52957,2020-06-29
720,37063,47581,2020-07-08
721,49823,48964,2020-08-23
722,26952,52808,2020-05-30
723,84256,79167,2021-02-01
724,9944,3724,2020-08-22
725,22316,56542,2021-09-07
726,86137,10618,2020-08-30
727,74357,77049,2020-12-15
728,77659,43717,2020-08-03
729,5863,85479,2021-11-16
730,8815,17383,2021-11-26
731,51568,99533,2021-10-20
732,31011,81092,2020-07-16
733,48457,16980,2021-12-07
734,9065,89543,2021-07-19
735,95446,39788,2020-05-27
736,96573,55699,2021-02-28
737,580,3431,2021-03-10
738,42431,86804,2020-03-24
739,25871,96479,2020-08-16
740,92769,11513,2021-03-18
741,20748,87205,2020-08-06
742,31968,8541,2020-02-08
743,83786,18169,2020-09-05
744,49475,89716,2020-06-07
745,35605,66628,2021-04-28
746,76240,12592,2020-04-02
747,89256,4968,2022-01-26
748,93657,72228,2020-11-13
749,58949,11383,2022-02-10
750,56550,20699,2021-03-13
751,72487,71108,2021-03-26
752,35581,30901,2020-01-21
753,51075,5445,2020-03-20
754,25482,54105,2021-10-27
755,19814,74502,2020-05-11
756,95514,54426,2020-02-08
757,87295,66058,2021-03-22
758,1791,11916,2021-04-21
759,68501,12071,2020-05-19
760,87214,93745,2021-05-27
761,87826,3227,2021-11-09
762,53461,6405,2020-02-03
763,16836,92520,2020-01-10
764,36309,39262,2020-10-03
765,70949,67251,2020-12-23
766,13960,17953,2022-02-24
767,71289,97376,2020-06-18
768,57276,16870,2020-01-11
769,31117,1489,2021-11-04
770,32659,45133,2020-03-23
771,92961,78480,2021-08-10
772,94078,70198,2020-06-18
773,12478,40007,2020-04-23
774,18646,75625,2020-09-17
775,87622,85168,2022-05-05
776,26537,24053,2021-08-06
777,62379,58731,2021-07-18
778,24473,96556,2021-07-17
779,15697,97265,2020-12-24
780,30790,65473,2021-02-19
781,47837,57349,2020-03-06
782,86833,3453,2022-04-22
783,68668,6408,2021-11-07
784,2679,23614,2021-04-15
785,24200,22019,2021-09-05
786,97430,36765,2021-11-07
787,72663,74306,2020-11-09
788,55257,94228,2020-05-20
789,49950,90227,2020-09-21
790,99844,90179,2021-12-07
791,23013,3243,2020-09-25
792,97504,77747,2021-08-07
793,96024,98903,2020-05-16
794,47768,68996,2021-11-20
795,49727,24490,2022-02-12
796,29310,88219,2022-03-06
797,55622,74944,2020-05-25
798,46461,57000,2020-05-14
799,51405,90949,2020-06-21
800,23982,89120,2021-05-16
801,60228,35532,2020-09-11
802,30569,5171,2020-03-19
803,41947,55749,2021-10-10
804,40184,99242,2021-08-27
805,30605,1886,2021-08-14
806,98825,68452,2021-02-22
807,96653,5771,2020-02-16
808,3813,13631,2021-07-14
809,30298,99138,2021-11-15
810,8612,73890,2020-05-15
811,96611,18291,2022-03-29
812,46361,750,2020-06-12
813,70363,29237,2021-01-08
814,56455,32785,2021-02-23
815,78245,32668,2020-04-02
816,37327,54648,2020-05-23
817,16346,25212,2020-04-06
818,69213,49088,2022-03-09
819,43535,85237,2021-09-02
820,35618,26351,2022-01-23
821,60205,26478,2020-10-26
822,47711,39277,2021-05-12
823,97851,38333,2021-05-17
824,76524,59282,2022-04-23
825,18787,82530,2021-02-11
826,55310,52862,2022-02-10
827,60865,78633,2020-05-04
828,85706,72663,2020-01-01
829,65902,14104,2022-04-26
830,20653,92351,2020-09-02
831,16443,69124,2020-11-29
832,47913,40811,2022-04-29
833,76576,91145,2020-09-04
834,29073,96222,2021-08-22
835,97724,39207,2021-12-05
836,27040,64229,2022-03-27
837,97619,74317,2020-08-08
838,93978,31456,2021-07-10
839,48816,88905,2021-11-05
840,81846,1281,2022-05-11
841,13753,57608,2021-06-10
842,93184,99750,2022-02-14
843,60213,37649,2020-05-19
844,80601,87397,2020-12-21
845,79734,5582,2020-07-22
846,38547,25499,2022-04-30
847,64308,74579,2021-05-30
848,92064,95968,2020-10-30
849,46761,46725,2020-11-16
850,39679,76869,2020-05-31
851,18600,27588,2022-01-09
852,80515,38493,2020-05-28
853,56763,26784,2020-09-23
854,56742,54609,2021-01-16
855,6510,73497,2021-01-29
856,35129,12871,2021-08-26
857,86367,71437,2020-10-26
858,81547,19080,2022-02-01
859,58662,19560,2020-03-10
860,71805,25045,2021-03-31
861,5272,88274,2021-12-13
862,81370,7829,2021-07-01
863,15609,7062,2020-07-16
864,88847,52939,2022-01-02
865,88309,4796,2020-03-08
866,616,34880,2021-06-01
867,22438,76308,2021-02-04
868,32619,90326,2020-01-17
869,8367,98768,2021-03-04
870,84857,9952,2021-06-22
871,56166,98734,2021-01-18
872,95557,12760,2021-02-27
873,77073,73362,2022-01-02
874,99799,90082,2020-04-02
875,27463,77260,2020-04-04
876,38416,12546,2021-04-11
877,13186,38305,2020-10-30
878,35383,42228,2022-01-21
879,63275,89142,2020-05-03
880,80879,61409,2020-08-27
881,21055,24870,2020-09-21
882,40616,51609,2020-05-01
883,66042,4056,2021-07-28
884,9751,60445,2021-10-15
885,6771,58486,2021-08-28
886,69479,56135,2020-12-10
887,593,36676,2021-08-06
888,12519,64124,2020-09-27
889,95687,28946,2021-07-27
890,26109,46249,2020-04-18
891,3569,58516,2020-06-20
892,73165,27521,2020-04-23
893,42158,79490,2020-11-22
894,15050,1685,2021-06-08
895,59628,47155,2022-02-07
896,80413,20581,2021-08-15
897,3719,17895,2021-12-24
898,63686,80838,2021-08-04
899,52381,661,2021-12-29
900,70148,90826,2020-02-04
901,25478,88225,2020-09-07
902,43028,15584,2021-02-12
903,53253,95018,2021-01-22
904,68116,82254,2021-07-30
905,85012,39496,2020-04-01
906,60507,55266,2020-09-19
907,30802,35245,2020-04-11
908,79624,75307,2022-05-09
909,87482,76342,2022-03-05
910,66891,28812,2022-01-31
911,39329,18485,2021-08-30
912,95,62007,2020-11-10
913,13633,27756,2020-12-12
914,65834,2331,2020-01-30
915,59130,6551,2020-08-22
916,99374,6099,2020-10-27
917,38622,68160,2020-10-07
918,16451,11578,2021-07-21
919,43662,12881,2020-12-24
920,44082,25576,2022-03-21
921,49101,49498,2020-01-31
922,88839,39793,2021-04-25
923,35821,60638,2020-11-04
924,56747,73540,2022-02-19
925,4654,8976,2021-12-10
926,36098,89622,2021-05-13
927,64250,85719,2020-09-14
928,81595,81126,2020-06-20
929,49592,49713,2020-04-17
930,97464,4290,2021-08-07
931,37786,11943,2021-05-22
932,18584,34497,2021-09-30
933,5582,62157,2021-05-18
934,40362,88361,2021-08-16
935,1359,7131,2020-02-28
936,49386,62975,2021-02-10
937,83594,94414,2020-07-10
938,30038,14016,2021-12-17
939,11700,25883,2020-05-23
