Available_equipment_id,Equipment_type,Amount_of_equipment,Place_id
147,59253,560808,5417
148,74031,909492,99637
149,64911,767222,63239
150,35959,178260,87680
151,11941,616579,84703
152,5547,242465,60200
153,28888,514363,18337
154,53790,472839,94389
155,26688,652684,30453
156,91434,283198,11664
157,30975,409415,96554
158,58522,588399,33029
159,7745,75119,79885
160,32136,556522,7508
161,42634,283027,24183
162,23008,439329,75534
163,45783,801828,15381
164,8202,784508,80541
165,80457,354150,55816
166,84208,585288,75492
167,75681,371359,99035
168,85339,385152,62970
169,65598,293508,7458
170,25126,91172,85364
171,37009,43794,50085
172,77714,639387,58587
173,43444,673261,29388
174,82810,482878,22558
175,32030,56796,37939
176,81965,574135,99728
177,54752,140667,4300
178,8705,591496,83389
179,32970,154361,9876
180,2603,135387,10956
181,95723,678947,47277
182,46816,248336,53940
183,53741,834491,21084
184,84007,893233,8281
185,59237,107610,29886
186,21061,499449,18738
187,89601,10890,64481
188,77272,392315,28616
189,28445,963553,44946
190,48712,758220,28457
191,87518,320065,74877
192,62567,262474,96884
193,41276,778496,22305
194,73124,874272,36478
195,57440,453559,22826
196,2590,177983,75839
197,29901,890800,16233
198,77510,421585,45368
199,35938,655803,78731
200,12968,272384,7039
201,22433,765871,7820
202,57650,826003,60128
203,64000,145939,3725
204,90082,816834,48664
205,1366,964295,60575
206,69098,452992,79651
207,1615,377153,18683
208,93826,70257,76866
209,32766,301358,93415
210,52609,885238,7443
211,59882,589460,65700
212,18205,670317,34713
213,30490,184564,69528
214,34222,517916,4594
215,40524,149428,14991
216,86238,917219,49958
217,44678,648004,56739
218,15208,101043,74128
219,41431,324904,30133
220,51560,217283,82743
221,97930,5052,74088
222,34190,277389,94770
223,22659,146300,29274
224,88318,900818,41460
225,88550,417535,71023
226,18128,601836,31239
227,45631,396080,33895
228,44086,503674,65176
229,80160,939407,86412
230,17813,370640,1019
231,74380,122265,85174
232,97166,716778,13018
233,31844,178004,3632
234,80311,691062,18036
235,48760,57595,19588
236,54040,549580,89370
237,60509,514063,2853
238,3718,791183,89739
239,99249,573563,1254
240,79410,166024,55768
241,10598,553159,30078
242,71811,774200,43867
243,4440,906724,26959
244,35763,498122,73433
245,41340,793750,77299
246,7596,220411,45580
247,52291,754113,71208
248,2803,884082,59115
249,40309,570954,90141
250,65426,473412,84712
251,10796,187584,32944
252,20935,955313,1249
253,31613,789601,55987
254,53497,869245,24585
255,78783,157569,94297
256,11863,393014,31631
257,66262,477858,60619
258,18878,528639,71700
259,14501,563642,20804
260,76423,830777,81601
261,1423,386340,34043
262,78535,949362,27177
263,24874,617846,88373
264,63591,599887,57113
265,46066,794602,17366
266,71878,867384,70820
267,65739,405517,73124
268,77148,614979,21943
269,61307,585403,6247
270,94330,29937,19227
271,85094,614940,96398
272,65171,719473,9036
273,45386,582718,41952
274,94835,848792,37018
275,23165,59908,55656
276,9051,33098,52517
277,27645,905239,7594
278,40845,844447,32992
279,97694,734209,17212
280,77967,738098,53060
281,14873,731457,40187
282,68918,583037,21425
283,61812,615994,30890
284,70307,330361,33886
285,16797,926796,68012
286,92850,419623,19824
287,23336,123893,42070
288,5532,916994,69948
289,86416,671470,76957
290,37183,55175,1424
291,54725,737749,93973
292,31383,359179,86519
293,34814,201618,16484
294,30876,50213,97248
295,49102,964486,49128
296,99775,304566,5371
297,2907,379296,58680
298,5930,181498,4507
299,75646,746349,90697
300,49800,176502,56877
301,7085,938689,43737
302,78616,450379,713
303,54792,972612,81650
304,1965,594017,5573
305,21779,593097,37781
306,66600,778136,47053
307,35443,659741,79091
308,20765,529233,13406
309,93966,116326,86372
310,79924,865815,8280
311,29437,921592,30657
312,90098,996022,66974
313,58711,222472,54273
314,39791,567384,84999
315,13389,859871,87366
316,21625,119001,95945
317,36212,736146,55632
318,97200,690775,51386
319,37404,337548,50036
320,84791,658890,8412
321,62321,912548,65944
322,64484,489523,39348
323,45892,207376,3435
324,49124,118597,6223
325,66675,323279,72976
326,95271,85618,10359
327,86459,764648,51701
328,77302,482254,22724
329,54825,552096,27265
330,88283,708641,91742
331,26015,72541,6442
332,95854,489545,71537
333,57222,895522,83431
334,22919,580728,21951
335,18938,152575,88429
336,39713,612669,47074
337,13090,352164,32448
338,16067,506669,51625
339,93626,871367,24845
340,33103,128873,84215
341,28536,116203,79080
342,65072,606935,12149
343,71936,332612,67907
344,51703,798691,80774
345,99167,27259,67720
346,55629,446786,20016
347,94272,772797,69414
348,30841,578471,86019
349,14989,561341,81268
350,37619,444632,51844
351,30821,752003,26683
352,29889,99965,64416
353,85442,251052,2429
354,11600,138083,32481
355,20211,169876,62441
356,29410,18876,49906
357,98591,827906,97087
358,50235,556831,57348
359,93822,212695,76455
360,72993,732276,774
361,69916,270999,9707
362,25785,73543,28099
363,96756,487313,37532
364,25529,244173,28798
365,84898,108568,9965
366,71383,232036,3184
367,86199,710520,82445
368,9544,618755,62015
369,62610,601239,45944
370,94311,213765,70987
371,90120,158581,99111
372,88472,498779,90659
373,29736,233109,62286
374,22683,454935,35019
375,42274,586522,60692
376,53001,520970,39077
377,124,910702,24114
378,8257,479898,28124
379,93283,739834,10469
380,83247,826459,80566
381,73317,939855,87104
382,21082,135766,62861
383,16258,332452,35145
384,67994,865450,21948
385,96020,580495,57831
386,61074,832849,65393
387,96771,909488,39464
388,85750,475618,76569
389,767,756992,74335
390,28057,443838,60523
391,88718,325622,9020
392,86458,960664,32206
393,24564,197701,87287
394,33900,581004,13074
395,62113,711330,56400
396,43642,504194,36664
397,1396,198912,68568
398,25256,617031,5513
399,26943,750885,15399
400,57716,151408,41351
401,11659,100062,96699
402,40631,128490,28484
403,72660,542373,8485
404,7780,192863,7191
405,19295,866886,99147
406,7780,625933,54205
407,80741,632465,61921
408,55857,88928,39078
409,96353,262214,68412
410,12818,332461,90645
411,95662,237528,77894
412,2168,688907,81481
413,77291,328500,6191
414,52480,728799,69026
415,15837,734773,16270
416,41548,91489,57905
417,35339,380636,44711
418,29553,921938,50132
419,37732,444138,45155
420,51608,347067,61017
421,26693,539601,6790
422,39311,905638,70818
423,84970,30344,27326
424,48188,143623,3924
425,94174,694273,46452
426,7830,366005,46809
427,69111,845090,98682
428,89765,113812,56697
429,18058,492334,68963
430,44161,5133,4856
431,31615,798326,41001
432,34052,741332,54343
433,1595,81262,17760
434,82971,373922,54730
435,37725,997020,97119
436,54023,220044,96931
437,33452,792298,15054
438,68044,435619,35979
439,75835,884176,66965
440,59111,802732,68208
441,10137,27079,67831
442,5348,376417,34372
443,44137,124073,62300
444,48976,963532,67590
445,8206,914012,68133
446,89080,986099,17630
447,28415,636130,78764
448,1248,110220,41911
449,59998,590525,51268
450,76400,262721,74877
451,57371,635868,93697
452,98046,916353,72335
453,23675,960552,40514
454,63828,593002,50049
455,69804,968780,65780
456,91074,291391,27324
457,86645,372195,96057
458,50431,320384,76200
459,32543,595983,17453
460,14147,693062,9377
461,96483,813865,63025
462,36915,966356,70898
463,6626,63652,8806
464,10035,643668,41737
465,53639,874383,77367
466,66902,66303,84662
467,71678,639057,30775
468,80476,23366,30910
469,54467,682001,76966
470,95202,269080,38783
471,13937,886188,92001
472,41393,183154,18417
473,74676,77856,99092
474,77005,913621,75930
475,45667,988278,68613
476,44625,650749,58775
477,1909,914317,14314
478,66576,863085,83808
479,12869,472745,40255
480,58212,497979,49927
481,98871,535739,12570
482,10740,653672,92593
483,48953,850333,55917
484,87406,432604,26011
485,76015,538350,53878
486,57050,531568,69623
487,54572,211143,25877
488,35601,271538,93572
489,24731,979059,96240
490,20256,894919,39325
491,173,260635,32058
492,27375,641422,49592
493,91817,260772,20483
494,78072,528960,98265
495,74432,263243,51672
496,25849,290953,89083
497,83215,725467,25497
498,85596,732020,82170
499,30457,761488,64366
500,16792,628617,17598
501,22783,865914,65423
502,79406,1434,25696
503,50602,473477,55031
504,13613,436467,21062
505,69551,858383,35438
506,79170,326830,79442
507,52492,983858,50769
508,33200,464582,48573
509,65382,957023,44957
510,53566,522929,71926
511,53480,294901,52512
512,26877,512235,6921
513,69356,87052,75580
514,10614,918261,58929
515,74796,992444,64495
516,35542,400578,28381
517,21893,543631,40219
518,21744,924661,31498
519,88441,689816,80884
520,38974,566823,2515
521,21728,664782,28662
522,71174,431380,78209
523,6419,311855,80137
524,93847,101752,2336
525,5369,394446,8958
526,54464,476822,48133
527,98184,418329,45354
528,93779,699827,60522
529,63960,638562,90859
530,84761,809217,70258
531,66910,580260,7683
532,76894,354600,54142
533,11030,355078,58291
534,65897,745922,40900
535,33914,852300,38761
536,97156,525766,45327
537,40620,250885,50589
538,51567,433494,33821
539,10935,264366,93073
540,30424,611957,89283
541,20080,572905,96431
542,91011,208550,27112
543,3667,8902,36642
544,7262,429478,82211
545,77039,255984,55773
546,49246,152601,67746
547,9677,159499,66221
548,15452,767760,83481
549,55352,10243,35572
550,72958,286368,74783
551,48717,544245,19371
552,33354,42143,28681
553,35433,550884,4498
554,20447,114358,36786
555,26193,145811,43079
556,81901,508315,58059
557,60624,403415,7046
558,94763,432160,78684
559,61896,496137,92574
560,97226,105360,485
561,77135,813532,39901
562,9501,432387,82669
563,40716,56429,41240
564,36116,162479,88453
565,73109,815924,26068
566,96919,772348,60148
567,25391,676149,5425
568,28408,455782,70986
569,51660,701177,88886
570,43812,508997,76136
571,97266,888064,74509
572,80450,811393,45065
573,60232,816323,95805
574,86469,420916,22739
575,16995,967787,74675
576,93672,563304,23682
577,29888,687833,29002
578,21492,479715,3336
579,85913,885702,75374
580,87980,76448,54029
581,30886,151997,48072
582,40196,751375,56963
583,46004,946707,80838
584,12487,999122,72712
585,56381,710360,3763
586,99123,519914,98992
587,74507,450920,6695
588,884,121997,93744
589,97165,98119,1077
590,90122,319557,43110
591,66090,9016,52489
592,69968,655237,72399
593,87658,720574,48890
594,55961,374385,5737
595,56874,518041,58310
596,99853,705227,83241
597,14733,629209,96638
598,84592,835640,726
599,39935,894887,66395
600,1681,40886,65771
601,83083,398365,53644
602,33580,726201,39941
603,89634,838442,46656
604,81291,926451,47546
605,26311,147604,63563
606,20311,631258,22740
607,77119,469326,29940
608,86656,126195,11291
609,77143,227652,36633
610,87757,953629,95670
611,30577,283659,73145
612,58970,724525,24363
613,88149,440518,82171
614,53004,574818,19014
615,3786,277237,76562
616,65795,969706,12736
617,3954,579733,52514
618,66867,778156,14644
619,30317,147605,95055
620,54237,302026,14783
621,86986,667789,94966
622,4217,860858,25716
623,11635,921119,49353
624,28745,542916,30011
625,87164,903684,83572
626,13148,743478,20828
627,49041,561522,53164
628,8230,899356,7679
629,31303,291748,95487
630,32369,270144,55656
631,96009,28100,958
632,53450,878679,65489
633,38403,416416,96391
634,78887,226223,94489
635,74650,785997,18173
636,99390,699562,63629
637,23626,572192,66575
638,71770,722319,39020
639,86660,601677,49766
640,71657,580292,28252
641,43799,529819,72111
642,36816,722861,37435
643,60505,778646,47423
644,39401,159638,69516
645,10625,757044,31352
646,32127,230481,93267
647,30929,692882,66873
648,94486,33624,59276
649,50950,708885,6269
650,84058,528222,48163
651,16873,373999,19959
652,81863,457440,99861
653,14137,277963,29442
654,68212,632996,29657
655,49198,195618,78991
656,79300,36680,47003
657,27110,468977,91585
658,97347,797826,46883
659,60360,76315,65440
660,12105,238159,31625
661,14646,378647,17392
662,18377,972772,72580
663,20474,226442,98828
664,70194,365456,97598
665,51716,159244,74990
666,55050,164767,28272
667,3749,719054,90773
668,67839,176138,84036
669,30990,730610,67240
670,35735,601908,90995
671,40986,227209,18940
672,84347,667459,96707
673,72605,782441,71753
674,95010,864870,58794
675,72150,876648,70855
676,1411,480784,69878
677,90637,146836,20131
678,91825,740360,79807
679,63187,579692,61107
680,82308,988712,14949
681,63285,570467,59130
682,77999,139103,80690
683,27983,752973,27526
684,97928,127645,66027
685,31649,899990,99381
686,75825,142626,84160
687,72870,855796,83614
688,1747,183985,58168
689,45500,633804,18676
690,18149,867493,15466
691,8580,643040,25785
692,61887,321849,46802
693,60069,473743,38378
694,17488,399611,3027
695,14618,221233,88280
696,88714,54804,44209
697,30481,171729,29286
698,49632,599879,34973
699,38800,139770,27263
700,11876,438349,15250
701,20034,735973,10089
702,84588,866441,13295
703,5126,500331,59721
704,14782,78668,37214
705,184,334485,71306
706,79537,147724,98213
707,29042,662646,14695
708,82902,427166,69204
709,87941,900479,12119
710,42433,311230,90023
711,91808,377175,69208
712,56672,203999,42210
713,57911,839368,42985
714,2247,299646,10335
715,12742,665203,38220
716,70142,175731,43811
717,32150,92335,87228
718,47636,145647,10714
719,77468,163176,3135
720,94701,53546,36748
721,42606,347312,31535
722,48108,448085,36480
723,53590,285396,43362
724,11551,730082,4552
725,21278,555238,8251
726,70064,583730,36794
727,63243,339081,53302
728,38901,367494,81957
729,16975,428257,1900
730,53012,632397,6793
731,19331,306948,44404
732,77992,944394,21604
733,43920,35418,50565
734,12224,681281,64578
735,35931,939744,18215
736,47908,296457,96105
737,39228,3070,29707
738,86864,263086,52810
739,41780,954158,27604
740,7419,588425,32867
741,89721,496512,37404
742,61641,42203,27884
743,24926,302180,39589
744,21795,311293,80697
745,18859,235379,6486
746,58291,565401,90362
747,35917,131610,56611
748,51683,430215,45433
749,80855,608516,25307
750,86391,601835,19496
751,55513,304320,95892
752,98550,433327,14116
753,75724,79393,51081
754,61301,258748,11527
755,4827,109727,61972
756,306,551668,50069
757,47628,207514,75522
758,95336,840499,8571
759,31709,564400,85170
760,82623,468483,96058
761,16024,547252,28154
762,82059,561210,44803
763,92995,686358,42831
764,47915,212332,53844
765,92583,737358,73223
766,68920,368060,43655
767,51299,489608,70514
768,86978,7707,6977
769,8695,109292,87622
770,39454,604692,46564
771,93227,253391,87158
772,6594,579869,41849
773,4510,791116,21936
774,83880,353505,18556
775,7648,511313,58237
776,99877,258662,11180
777,69560,97550,38000
778,37711,399254,11267
779,66503,787266,22024
780,5941,338857,4957
781,10053,143146,98760
782,29081,404997,38637
783,51020,21341,49688
784,67283,210325,3247
785,167,496606,53157
786,50294,165312,70798
787,94469,316348,4718
788,59781,721189,41313
789,58717,117134,50312
790,47262,175239,35323
791,28496,835270,58931
792,71223,663249,31386
793,98560,928726,29406
794,28574,637786,52386
795,3946,698494,83611
796,37410,395881,66805
797,40443,238845,63608
798,77123,301857,3593
799,31097,434659,67788
800,23673,492969,53297
801,86213,24491,64122
802,90365,260846,84972
803,21262,329470,94307
804,43514,1513,60071
805,85247,855093,71179
806,41196,402982,78631
807,8114,478288,2112
808,21467,765843,21422
809,9321,808426,27520
810,89266,470241,21424
811,4342,477665,18143
812,19054,996078,93762
813,16717,299431,3546
814,87065,595507,58401
815,98153,980740,74008
816,2487,936099,63326
817,9639,467166,75552
818,148,878897,64583
819,59695,688465,22902
820,25410,408761,94368
821,99027,812025,78403
822,40998,313528,39085
823,25496,152857,86961
824,71311,264610,75373
825,52760,716272,59083
826,11781,105747,71739
827,19468,418500,71653
828,73459,320692,30272
829,68746,463446,86852
830,5484,238153,34072
831,32005,939724,19243
832,21097,415872,2448
833,37452,389237,22498
834,4637,349680,72529
835,8267,699052,59808
836,99456,392126,21712
837,92094,176898,97348
838,67721,794733,92014
839,36741,101571,52692
840,41020,478260,47605
841,29373,560814,13187
842,99068,248230,19334
843,25260,752625,52604
844,41477,644329,75858
845,81689,435918,55415
846,95356,443657,76118
847,22742,170640,56355
848,43535,448677,46243
849,72433,266780,73491
850,98131,203404,89192
851,71260,692515,12724
852,40831,394410,95112
853,59329,298427,28034
854,66075,636095,13723
855,27763,529034,49448
856,82852,848165,15941
857,69742,755802,83020
858,65413,95638,20104
859,94676,41762,83124
860,73534,61319,71350
861,40102,500125,75590
862,87215,904557,62539
863,58879,769648,15764
864,36510,872658,27151
865,71511,171599,17186
866,74350,201926,9367
867,346,168121,86012
868,33613,420367,4315
869,98279,898253,39018
870,66222,32576,68823
871,73516,828735,66769
872,6338,820637,13214
873,63897,511945,2644
874,54873,111740,25049
875,40609,315297,5626
876,13578,915613,96037
877,41639,581973,86920
878,71728,394549,31328
879,5625,167858,89871
880,9707,315139,98209
881,59935,694181,64068
882,90017,813764,85695
883,74116,788349,43456
884,319,523521,34784
885,40259,611981,23750
886,62534,926517,19426
887,65939,562623,23453
888,56067,278393,60701
889,98039,414633,28593
890,55957,58581,18261
891,94191,96487,7577
892,84549,771478,97464
893,21703,216326,43232
894,76900,641114,13200
895,5288,66246,3994
896,52257,179852,17092
897,85740,507365,57191
898,23710,855809,15499
899,40724,946939,11866
900,14681,575959,96605
901,89461,961117,38079
902,39162,2204,49266
903,45172,491051,54574
904,55526,651105,44888
905,48533,402844,87858
906,97206,54437,47080
907,53290,154494,15680
908,35858,872025,51813
909,71409,211957,88523
910,55595,457115,20991
911,19267,197828,89057
912,89862,930876,62567
913,26248,343115,85023
914,54099,52795,59289
915,6605,933462,84115
916,51758,234999,87225
917,26572,541769,49436
918,26350,833090,62217
919,6372,763771,68524
920,68885,513544,96686
921,3377,502284,9294
922,74856,455100,82698
923,52937,270666,66326
924,36749,709367,10438
925,34765,577132,52940
926,29945,609988,51604
927,63794,455939,81229
928,80776,31667,77020
929,21579,632922,17106
930,29502,944844,79373
931,17941,40604,8138
932,61581,96949,71324
933,49855,411298,4139
934,12656,310491,16738
935,47085,337859,3812
936,76320,104974,61061
937,6562,966783,66898
938,90712,930491,19873
939,19004,648805,85758
940,83719,807209,49633
941,93157,274046,71108
942,88528,694891,85527
943,68661,462676,66758
944,4411,171783,16635
945,42926,397303,16736
946,79580,737885,3208
947,95820,73847,46741
948,97759,875387,26219
949,51285,468186,93435
950,2028,164038,4886
951,55768,692395,96360
952,16381,18026,64002
953,99362,201631,74969
954,93035,656056,51287
955,86565,805236,34247
956,73373,983215,18315
957,14227,994333,37534
958,27972,726268,68795
959,53245,1812,57510
960,11343,406161,33527
961,5700,32490,11259
962,61443,294883,47017
963,71701,267615,82573
964,13864,623895,8566
965,15904,88845,11161
966,5295,484169,65019
967,55092,410427,15894
968,67352,117611,29903
969,50707,906128,12220
970,97552,546607,59311
971,7036,375731,99972
972,17405,934904,96417
973,61963,12080,44158
974,58514,514241,53120
975,27278,595716,34333
976,5467,321045,10451
977,27062,304646,76469
978,42915,411670,67576
979,29014,323523,38883
980,33418,742688,49856
981,8467,122027,91390
982,22975,930458,3132
983,2197,535743,55145
984,50717,223354,61816
985,49890,100790,93797
986,70057,423763,15150
987,5378,821181,64760
988,62610,884433,18419
989,4210,626680,80443
990,1607,264208,52455
991,65197,451081,81156
992,60713,914291,77157
993,78606,123205,85395
994,63873,78453,62620
995,835,794932,44752
996,14561,845816,28790
997,73538,469948,91976
998,49917,667282,12625
999,22438,411970,83927
1000,94414,71013,6519
1001,82661,304235,15677
1002,4476,122377,92535
1003,90468,660096,14394
1004,28517,147048,98963
1005,7526,573471,2249
1006,85187,934417,53062
1007,41904,973895,33487
1008,89278,42413,17283
1009,12871,586344,74817
1010,59019,540990,82717
1011,35270,347597,73905
1012,16076,919019,3742
1013,23448,614201,40412
1014,62849,288264,70624
1015,97023,509796,74839
1016,71971,16086,91536
1017,19423,879195,99628
1018,5490,899022,76983
1019,68861,903050,85853
1020,74028,977782,40213
1021,55155,906490,13832
1022,96913,584654,62343
1023,9929,42205,94736
1024,4421,7339,43855
1025,24273,536559,40101
1026,83895,917032,49999
1027,20246,120907,75158
1028,5800,608615,49733
1029,44700,787471,44718
1030,28093,442093,2273
1031,80355,8004,64722
1032,46964,996367,52359
1033,91582,498539,7580
1034,40656,119366,68741
1035,72739,421445,1179
1036,13403,330703,91303
1037,3408,413661,68514
1038,16034,283022,40124
1039,17797,553106,3785
1040,74346,949377,60080
1041,84807,458937,41060
1042,73156,221630,68390
1043,24664,718485,58700
1044,30803,536706,92797
1045,53593,690166,95479
1046,83620,369191,95616
1047,4084,791716,48481
1048,60121,924110,92107
1049,86162,159143,67215
1050,81999,52043,18606
1051,53942,565520,531
1052,10383,552108,82793
1053,46893,967365,51456
1054,9565,250650,68826
1055,86659,104565,5635
1056,10822,357238,18743
1057,35868,909465,83281
1058,97941,374072,94362
1059,39280,653997,33203
1060,60789,937552,51438
1061,84859,176806,45102
1062,50928,537375,35262
1063,27300,160125,56144
1064,86610,428275,87396
1065,58050,514802,77496
1066,37972,812441,75644
1067,18941,708396,39039
1068,15327,20381,41237
1069,50666,111530,45125
1070,41542,816243,90171
1071,62489,440537,20313
1072,44231,373513,3930
1073,52946,539424,74328
1074,97369,776428,97912
1075,28488,336369,93965
1076,475,7482,48236
1077,87555,655721,20677
1078,39484,566154,26906
1079,42398,868281,96724
1080,74164,79280,41221
1081,52393,721116,48275
1082,27056,779204,980
1083,7131,52710,4799
1084,36866,376407,20655
1085,35889,250712,897
1086,65131,268862,99997
1087,60788,675880,28299
1088,37573,107529,19883
1089,36555,780585,19391
1090,16815,481626,6650
1091,97329,29442,30195
1092,16798,355134,11636
1093,50855,991399,56765
1094,12599,585429,89447
1095,92048,349220,5063
1096,40046,451228,7695
1097,40607,329357,47669
1098,29702,748609,68577
1099,62781,828546,83935
1100,68939,873451,54262
1101,46296,20107,91318
1102,99518,529669,39344
1103,44337,732768,95272
1104,15700,869280,23782
1105,884,208363,3534
1106,37317,54732,61975
1107,61607,766863,11028
1108,57114,308652,10589
1109,67197,851805,78948
1110,91852,60606,79564
1111,77894,928353,85464
1112,71186,870929,66500
1113,73865,736552,55961
1114,32840,528489,41831
1115,55954,112982,33282
1116,72859,868185,45695
1117,25513,197681,34699
1118,85467,611658,5274
1119,54552,424423,54508
1120,29499,887269,42818
1121,2632,400487,45321
1122,47429,714762,70015
1123,79873,750546,97233
1124,55690,233946,89346
1125,59925,729114,40731
1126,71393,962622,84381
1127,68013,538710,19760
1128,96559,933524,66932
1129,17670,865615,55218
1130,94202,20120,9298
1131,67494,954995,22555
1132,29305,383701,3679
1133,75461,409311,45514
1134,61166,469784,30494
1135,58462,471791,86497
1136,83046,112854,6925
1137,79908,372814,10990
1138,2486,186058,19245
1139,72498,985014,46314
1140,86779,631457,97027
1141,95266,450130,50273
1142,22876,2886,19127
1143,1178,210374,31953
1144,5549,740592,39156
1145,62019,306406,92040
1146,81118,194548,12125
1147,50210,416318,31421
1148,68331,62603,49309
1149,95515,2168,55009
1150,863,932011,93058
1151,79239,271240,11357
1152,64798,329973,88459
1153,63373,20883,91363
1154,26713,314343,60742
1155,89211,86933,22582
1156,2106,604849,25174
1157,4048,525017,34029
1158,53324,805254,82928
1159,70958,114759,70359
1160,70519,89925,68782
1161,8632,103465,83334
1162,10988,721349,11306
1163,2786,199916,68003
1164,80549,411160,56429
1165,15942,371742,28404
1166,31690,853016,24678
1167,27893,172391,35474
1168,34826,449154,54368
1169,97634,822226,92375
1170,70215,982504,87990
1171,10517,484967,49068
1172,13316,591974,81617
1173,7444,664818,29586
1174,8418,173874,88453
1175,44005,87388,81289
1176,32970,204521,28086
1177,83378,134873,73377
1178,15810,902151,438
1179,9345,588775,27240
1180,87724,596404,19535
1181,17470,376594,94451
1182,88284,551432,86964
1183,73404,73262,3950
1184,87645,373194,96020
1185,3178,639718,47570
1186,49143,877453,45558
1187,16403,602764,60142
1188,72870,342599,15432
1189,93301,13549,63635
1190,44377,101749,54909
1191,60832,405102,66469
1192,29698,770398,83028
1193,10751,109561,10340
1194,93373,121094,46992
1195,83804,540415,83959
1196,34464,472394,24239
1197,78086,579255,54889
1198,45094,160470,56252
1199,80290,97261,84161
1200,54451,356678,47796
1201,49260,436253,93017
1202,35108,823010,2793
1203,34193,637069,64464
1204,55608,470866,65915
1205,53108,104826,23918
1206,7164,13412,88073
1207,56591,195713,33429
1208,6094,462203,93609
1209,80633,60986,64418
1210,94305,574578,55928
1211,28876,724106,4956
1212,24895,218416,15385
1213,77882,714603,4208
1214,89684,639301,76863
1215,82870,69909,79839
1216,99368,747286,45624
1217,77269,130666,85196
1218,79598,126391,22051
1219,20449,239534,40729
1220,86917,781223,80231
1221,93245,336893,12099
1222,11464,560788,76600
1223,31801,224106,66184
1224,69136,316676,86856
1225,98552,350826,79737
1226,76256,101978,10645
1227,39236,749371,97141
1228,45678,937751,43903
1229,20564,444646,14566
1230,92823,945614,8350
1231,523,148538,47546
1232,62307,506984,54006
1233,53168,424130,60925
1234,64175,426944,19032
1235,82539,857006,36827
1236,86440,929855,90836
1237,39560,578087,46037
1238,65231,762002,29486
1239,32840,489752,76370
1240,72351,515586,73856
1241,2794,399842,53918
1242,16108,320764,58240
1243,46522,732786,73091
1244,36119,226268,56113
1245,94811,624607,37748
1246,61603,974666,18974
1247,63487,441159,18593
1248,36435,384973,91485
1249,78515,286927,30813
1250,13767,421123,36457
1251,58597,517914,84974
1252,57316,232228,70853
1253,77027,323253,94522
1254,2112,457187,16469
1255,649,617973,27996
1256,45816,552357,65650
1257,44037,682629,55108
1258,42235,498531,38369
1259,25826,140810,94705
